"","Andrena_sp_VSV2-12","Apis_mellifera_VSV2-06","Apis_mellifera_VSV2-08","Apis_mellifera_VSV3-02","Apis_mellifera_VSV3-03","Apis_mellifera_VSV3-04","Apis_mellifera_VSV3-12","Apis_mellifera_VSV3-15","Apis_mellifera_VSV3-21","Apis_mellifera_VSV4-01","Apis_mellifera_VSV4-03","Apis_mellifera_VSV4-04","Apis_mellifera_VSV4-06","Apis_mellifera_VSV4-13","Apis_mellifera_VSV4-14","Apis_mellifera_VSV4-19","Apis_mellifera_VSV4-21","Apis_mellifera_VSV5-03","Apis_mellifera_VSV5-04","Apis_mellifera_VSV5-05","Apis_mellifera_VSV5-09","Apis_mellifera_VSV5-11","Ceratina_dentiventris_VSV2-15","Ceratina_dentiventris_VSV2-19","Ceratina_sp_VSV3-19","Dasypoda_cingulata_VSV5-13","Dasypoda_iberica_VSV5-10","Episyrphus_balteatus_VSV3-10","Episyrphus_sp_VSV2-07","Eristalinus_taeniops_VSV4-20","Eristalis_arbustorum_VSV4-11","Eristalis_similis_VSV2-16","Eristalis_similis_VSV3-14","Lasioglossum_immunitum_VSV2-04","Lasioglossum_immunitum_VSV2-10","Lasioglossum_immunitum_VSV2-13","Lasioglossum_immunitum_VSV3-01","Lasioglossum_immunitum_VSV3-05","Lasioglossum_immunitum_VSV3-16","Lasioglossum_immunitum_VSV4-02","Lasioglossum_immunitum_VSV4-08","Lasioglossum_immunitum_VSV4-09","Lasioglossum_immunitum_VSV4-12","Lasioglossum_immunitum_VSV4-17","Lasioglossum_immunitum_VSV5-06","Lasioglossum_mediterraneum_VSV2-20","Lasioglossum_mediterraneum_VSV3-08","Lasioglossum_sp_VSV2-11","Lasioglossum_sp_VSV2-14","Lasioglossum_sp_VSV3-07","Lasioglossum_sp_VSV3-09","Lasioglossum_sp_VSV3-11","Lasioglossum_sp_VSV3-13","Lasioglossum_sp_VSV3-20","Lasioglossum_sp_VSV4-05","Lasioglossum_sp_VSV5-14","NA_NA_VSV2-09","NA_NA_VSV5-01","Panurgus_perezi_VSV4-07","Pieris_rapae_VSV4-10","Sphecodes_sp_VSV3-22"
"4-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-8 Cistus_salviifolius",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-9 Cistus_salviifolius",1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"5-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"5-2 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"5-8 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,25,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"7-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-9 Cistus_salviifolius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-2 Cistus_salviifolius",0,0,0,0,0,0,0,0,3,5,0,22,10,0,0,2,4,0,0,15,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"8-3 Cistus_salviifolius",0,0,0,8,0,0,0,9,8,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"8-5 Cistus_salviifolius",0,0,0,4,0,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-1 Cistus_salviifolius",0,0,0,0,0,0,0,0,5,0,0,4,0,0,7,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-10 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-2 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,9,0,4,8,0,0,6,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"9-3 Cistus_salviifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-7 Cistus_salviifolius",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-8 Cistus_salviifolius",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
